"Response ID","Date submitted","Last page","Start language","Seed","Do you have experience with SCRUM?","How many years of expirience do you have with SCRUM?","Which SCRUM roles have you primarily taken on? [Product Owner]","Which SCRUM roles have you primarily taken on? [SCRUM team member]","Which SCRUM roles have you primarily taken on? [SCRUM master]","Which SCRUM roles have you primarily taken on? [Other]","How helpful do you find the following KPIs for SCRUM purposes? [Capacity (How many Story Points can a Team theoretically do in a Sprint?)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Capacity (How many Story Points can a Team theoretically do in a Sprint?)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Number of planned Tickets][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Number of planned Tickets][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Number of done Tickets][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Number of done Tickets][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Commitment (Story Points planned for a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Commitment (Story Points planned for a Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Overplanning ratio (Planned Story Points / Capacity)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Overplanning ratio (Planned Story Points / Capacity)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Amount of done Story Points][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Amount of done Story Points][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Velocity (Planned Story Points / Done Story Points)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Velocity (Planned Story Points / Done Story Points)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets (Number of 'emergency' tickets that got added during a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets (Number of 'emergency' tickets that got added during a Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets done (Number of 'emergency' tickets that got done in the Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets done (Number of 'emergency' tickets that got done in the Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Additional Tickets (Tickets that got added unexpectedly during the Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Additional Tickets (Tickets that got added unexpectedly during the Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Open Story points (How many story points are not done at the end of a Sprint and what state are they in?)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Open Story points (How many story points are not done at the end of a Sprint and what state are they in?)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Removed Tickets (Tickets that got removed during a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Removed Tickets (Tickets that got removed during a Sprint)][Scale 2]","Is there a KPI not listed in our survey that you find helpful in the SCRUM context? If yes, please describe it."
"4","1980-01-01 00:00:00","2","de","615609624","Yes","4+ years","No","Yes","No","","5 - Very helpful","Yes","2","Yes","2","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","3","Yes",""
"5","1980-01-01 00:00:00","2","de","533142908","Yes","4+ years","No","Yes","No","","5 - Very helpful","Yes","2","No","2","No","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","2","No","5 - Very helpful","Yes","5 - Very helpful","Yes","1 - Not helpful at all","Yes",""
"6","1980-01-01 00:00:00","2","de","1682587535","Yes","4+ years","Yes","No","No","","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes",""
"7","1980-01-01 00:00:00","2","de","871429880","Yes","2-4 years","No","Yes","No","","5 - Very helpful","Yes","3","Yes","3","Yes","4","Yes","4","Yes","4","Yes","4","Yes","3","Yes","3","Yes","2","Yes","3","Yes","2","Yes","Ich könnte mir vorstellen, dass ein KPI für die Unsicherheit eines Tickets durchaus hilfreich bei der Planung sein könnte.
Je unsicherer ein Ticket, desto geringe die Wahrscheinlichkeit, dass dieses innerhalb des Sprints vollständig abgearbeitet wird.
Wie genau das erfasst bzw. bestimmt werden sollte, ist mir zum jetzigen Zeitpunkt nicht vollends bewusst, aber eine Korrelation der für das Ticket geplanten StoryPoints, die Kapazität der bearbeitenden Person und die Anzahl an ""freien Tagen"" könnten einige der Faktoren sein."
"8","1980-01-01 00:00:00","2","de","474015248","Yes","4+ years","No","Yes","No","Beobachter","3","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","Welche KPIs benötigen die anderen Teams aufgrund der Sprint-Tickets ?
Wie viele Bugss pro Sprint?
Wie viele UserStories pro Sprint?
Wie viele Customizings und Standardumsetzungen pro Sprint?
Wie viele Supportanfragen wurden in dem Sprint abgearbeitet (Bugs und UUserStroies)?"
"9","1980-01-01 00:00:00","2","de","1520781194","Yes","2-4 years","No","Yes","No","","3","Yes","2","Yes","2","Yes","3","Yes","3","Yes","2","Yes","4","Yes","3","Yes","4","Yes","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes",""
"11","1980-01-01 00:00:00","2","de","915072121","Yes","2-4 years","No","Yes","No","","4","Yes","4","Yes","4","Yes","3","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","3","Yes","4","Yes","3","Yes",""
"12","1980-01-01 00:00:00","2","de","1350896571","Yes","4+ years","No","Yes","No","","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","3","Yes","3","Yes","4","Yes","4","Yes","2","Yes","3","Yes","4","Yes","2","Yes","- Anzahl der Pull Requests für die Tickets im Sprint.
- Wie viele Pull Requests davon sind durch 
   1. automatische quality gates
   2. Code reviewer
   3. QA
   rejected wurden "
"13","1980-01-01 00:00:00","2","en","2009607217","Yes","1-2 years","No","Yes","No","","3","Yes","1 - Not helpful at all","No","3","Yes","3","Yes","1 - Not helpful at all","No","3","Yes","3","Yes","4","No","4","No","3","No","3","Yes","3","No",""
"14","1980-01-01 00:00:00","2","de","780374360","Yes","1-2 years","No","Yes","No","","5 - Very helpful","Yes","3","No","3","No","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","3","No","3","No","4","Yes","4","Yes","4","Yes",""
